omni_omni.log GSM

#COORD
GSM

#DELAY
1800
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2016  5  6 10 49  0   0    0.37   -7.89    1.34  -390.42     5.63    -7.73     8.71     622613.9
 2016  5  6 10 50  0   0    0.65   -7.81    0.52  -390.87     7.42    -6.63     8.83     625112.3
 2016  5  6 10 51  0   0    0.91   -7.84    1.35  -391.32     9.20    -5.53     8.95     627610.7
 2016  5  6 10 52  0   0    0.90   -8.02    1.15  -391.77    10.98    -4.42     9.07     630109.0
 2016  5  6 10 53  0   0    1.21   -8.43    0.31  -389.98     6.02    -6.85     9.09     615970.7
 2016  5  6 10 54  0   0    1.07   -8.13    0.09  -388.18     1.06    -9.29     9.11     601832.3
 2016  5  6 10 55  0   0    1.22   -8.09   -0.27  -386.39    -3.89   -11.72     9.13     587693.9
 2016  5  6 10 56  0   0    1.42   -8.14   -0.36  -384.59    -8.85   -14.15     9.15     573555.5
 2016  5  6 10 57  0   0    0.95   -8.20   -0.66  -382.80   -13.81   -16.58     9.18     559417.1
 2016  5  6 10 58  0   0    0.59   -7.92   -0.74  -381.01   -18.77   -19.01     9.20     545278.8
 2016  5  6 10 59  0   0    1.90   -7.59    1.90  -379.21   -23.73   -21.44     9.22     531140.4
 2016  5  6 11  0  0   0    4.34   -6.46   -0.08  -377.42   -28.69   -23.87     9.24     517002.0
 2016  5  6 11  1  0   0    3.67   -6.79   -2.11  -375.62   -33.65   -26.30     9.26     502863.6
 2016  5  6 11  2  0   0    1.11   -8.71   -2.49  -375.34   -32.37   -25.98     9.28     505097.5
 2016  5  6 11  3  0   0    1.75   -9.15   -1.83  -375.06   -31.08   -25.66     9.30     507331.4
 2016  5  6 11  4  0   0    2.32   -9.35   -2.90  -374.78   -29.80   -25.34     9.32     509565.4
 2016  5  6 11  5  0   0    2.74   -9.23   -2.72  -374.50   -28.52   -25.01     9.35     511799.3
 2016  5  6 11  6  0   0    3.23   -8.78   -2.83  -374.22   -27.24   -24.69     9.37     514033.2
 2016  5  6 11  7  0   0    4.58   -7.62   -0.54  -373.94   -25.96   -24.37     9.39     516267.1
 2016  5  6 11  8  0   0    2.13   -8.74   -2.06  -373.66   -24.68   -24.05     9.41     518501.0
 2016  5  6 11  9  0   0    2.00   -8.88   -2.25  -373.37   -23.40   -23.72     9.43     520734.9
 2016  5  6 11 10  0   0    2.52   -7.15   -2.83  -373.09   -22.12   -23.40     9.45     522968.8
 2016  5  6 11 11  0   0    1.32   -8.19   -1.70  -372.81   -20.84   -23.08     9.47     525202.7
 2016  5  6 11 12  0   0    2.44   -6.90   -0.42  -373.92   -21.41   -22.03     9.33     535485.2
 2016  5  6 11 13  0   0    0.66   -8.81   -2.37  -375.03   -21.99   -20.99     9.19     545767.6
 2016  5  6 11 14  0   0    0.82   -9.10   -1.31  -376.15   -22.57   -19.95     9.06     556050.1
 2016  5  6 11 15  0   0    5.57   -4.15   -1.65  -377.26   -23.14   -18.90     8.92     566332.5
 2016  5  6 11 16  0   0    6.63   -3.39   -2.21  -378.37   -23.72   -17.86     8.78     576615.0
 2016  5  6 11 17  0   0    3.68   -6.64   -1.30  -379.48   -24.29   -16.82     8.64     586897.4
 2016  5  6 11 18  0   0    2.91   -7.68   -1.55  -380.59   -24.87   -15.77     8.50     597179.9
 2016  5  6 11 19  0   0    1.98   -7.88   -0.97  -381.70   -25.44   -14.73     8.37     607462.3
 2016  5  6 11 20  0   0    1.34   -8.32   -0.78  -382.81   -26.02   -13.68     8.23     617744.7
 2016  5  6 11 21  0   0    0.66   -7.89    0.63  -381.64   -24.74   -13.08     8.20     615693.9
 2016  5  6 11 22  0   0    0.92   -8.17    0.88  -380.47   -23.46   -12.47     8.18     613643.0
 2016  5  6 11 23  0   0    2.84   -8.23   -0.65  -379.30   -22.18   -11.86     8.15     611592.2
 2016  5  6 11 24  0   0    3.10   -8.37   -1.26  -378.13   -20.90   -11.25     8.13     609541.4
 2016  5  6 11 25  0   0    3.48   -8.40   -0.97  -376.96   -19.61   -10.64     8.11     607490.5
 2016  5  6 11 26  0   0    3.83   -8.04   -1.03  -375.79   -18.33   -10.03     8.08     605439.7
 2016  5  6 11 27  0   0    4.46   -7.90   -0.74  -374.62   -17.05    -9.42     8.06     603388.8
 2016  5  6 11 28  0   0    4.24   -8.05   -0.80  -373.45   -15.77    -8.82     8.03     601338.0
 2016  5  6 11 29  0   0    3.98   -8.16   -0.75  -372.28   -14.49    -8.21     8.01     599287.1
 2016  5  6 11 30  0   0    3.65   -8.32   -0.87  -373.20   -14.80    -7.94     8.02     604202.5
 2016  5  6 11 31  0   0    3.16   -8.48   -0.97  -374.12   -15.10    -7.68     8.03     609117.9
 2016  5  6 11 32  0   0    2.62   -8.67   -1.16  -375.04   -15.41    -7.41     8.05     614033.3
 2016  5  6 11 33  0   0    2.31   -8.68   -1.09  -375.95   -15.71    -7.15     8.06     618948.7
 2016  5  6 11 34  0   0    1.98   -8.66   -1.64  -376.87   -16.02    -6.89     8.07     623864.1
 2016  5  6 11 35  0   0    1.94   -8.74   -1.35  -377.79   -16.32    -6.62     8.09     628779.5
 2016  5  6 11 36  0   0    2.02   -8.71   -1.31  -378.71   -16.62    -6.36     8.10     633694.9
 2016  5  6 11 37  0   0    1.94   -8.73   -1.28  -379.63   -16.93    -6.09     8.11     638610.3
 2016  5  6 11 38  0   0    2.03   -8.90   -0.97  -380.55   -17.23    -5.83     8.13     643525.7
 2016  5  6 11 39  0   0    1.97   -8.83   -1.31  -380.31   -18.02    -6.84     8.14     638546.7
 2016  5  6 11 40  0   0    2.02   -8.82   -1.85  -380.07   -18.81    -7.84     8.16     633567.7
 2016  5  6 11 41  0   0    0.52   -9.10   -1.37  -379.84   -19.60    -8.85     8.17     628588.7
 2016  5  6 11 42  0   0    0.70   -8.98   -1.86  -379.60   -20.39    -9.85     8.19     623609.7
 2016  5  6 11 43  0   0   -0.34   -9.23   -1.10  -379.36   -21.17   -10.86     8.20     618630.7
 2016  5  6 11 44  0   0    0.50   -9.08   -1.63  -379.13   -21.96   -11.87     8.22     613651.6
 2016  5  6 11 45  0   0    1.54   -8.82   -2.29  -378.89   -22.75   -12.87     8.23     608672.6
 2016  5  6 11 46  0   0    1.79   -8.73   -2.26  -378.65   -23.54   -13.88     8.25     603693.6
 2016  5  6 11 47  0   0    1.47   -8.90   -2.09  -378.42   -24.32   -14.88     8.27     598714.6
 2016  5  6 11 48  0   0    1.21   -9.11   -1.74  -378.89   -19.93   -14.67     8.38     593986.8
 2016  5  6 11 49  0   0    0.53   -9.31   -1.28  -379.36   -15.54   -14.47     8.50     589259.0
 2016  5  6 11 50  0   0    0.24   -9.29   -1.50  -379.83   -11.15   -14.26     8.61     584531.3
 2016  5  6 11 51  0   0    1.22   -8.76   -1.94  -380.30    -6.76   -14.05     8.73     579803.5
 2016  5  6 11 52  0   0    3.15   -8.18   -3.02  -380.76    -2.37   -13.84     8.85     575075.7
 2016  5  6 11 53  0   0    3.83   -7.80   -3.85  -381.23     2.02   -13.63     8.96     570347.9
