File created on 2022-11-02T10:49:43.236186
#COOR
GSM


#START
2021 12 03 01 49 00 000       -2.75       0.60       1.45    -465.70      -8.71      -0.38       3.53  173879.00
2021 12 03 01 50 00 000       -2.93       0.47       1.30    -465.43      -9.36       2.73       3.51  181809.33
2021 12 03 01 51 00 000       -2.96      -0.22       1.53    -465.17     -10.02       5.85       3.48  189739.67
2021 12 03 01 52 00 000       -3.11      -0.00       1.04    -464.90     -10.67       8.96       3.46  197670.00
2021 12 03 01 53 00 000       -2.98      -0.86       1.44    -464.90     -10.66       8.97       3.46  197670.00
2021 12 03 01 54 00 000       -2.92      -0.82       1.24    -464.90     -10.66       8.97       3.46  197670.00
2021 12 03 01 55 00 000       -3.08       0.00       1.21    -464.55     -11.54       9.74       3.45  195298.00
2021 12 03 01 56 00 000       -2.88      -0.60       1.79    -464.20     -12.42      10.52       3.44  192926.00
2021 12 03 01 57 00 000       -3.06      -0.09       1.37    -464.20     -12.41      10.52       3.44  192926.00
2021 12 03 01 58 00 000       -3.05       0.31       1.44    -464.20     -12.41      10.53       3.44  192926.00
2021 12 03 01 59 00 000       -3.01      -0.07       1.63    -463.25      -9.47       9.38       3.45  200766.00
2021 12 03 02 00 00 000       -3.09      -0.35       1.35    -462.30      -6.54       8.23       3.45  208606.00
2021 12 03 02 01 00 000       -3.03      -0.37       1.55    -462.30      -6.54       8.23       3.45  208606.00
2021 12 03 02 02 00 000       -3.04      -0.27       1.60    -462.30      -6.53       8.24       3.45  208606.00
2021 12 03 02 03 00 000       -3.04      -0.31       1.59    -464.30      -9.09     -22.91       3.09  107690.00
2021 12 03 02 04 00 000       -3.08      -0.29       1.45    -464.30      -9.10     -22.91       3.09  107690.00
2021 12 03 02 05 00 000       -3.28      -0.51       0.69    -462.37      -8.20     -10.42       3.13  103597.33
2021 12 03 02 06 00 000       -3.23      -0.32       1.33    -460.43      -7.29       2.07       3.17   99504.67
2021 12 03 02 07 00 000       -3.15      -0.14       1.36    -458.50      -6.36      14.55       3.21   95412.00
2021 12 03 02 08 00 000       -2.98      -0.37       1.12    -461.50      -8.88       1.02       3.21  132552.00
2021 12 03 02 09 00 000       -3.08      -0.26       1.47    -464.90      -2.41      -0.34       3.23  175435.00
2021 12 03 02 10 00 000       -3.10      -0.10       1.03    -458.60     -12.65      -9.68       3.20  132793.00
2021 12 03 02 11 00 000       -3.08      -0.20       1.20    -458.60     -12.66      -9.67       3.20  132793.00
2021 12 03 02 12 00 000       -3.08      -0.43       1.28    -459.70      -5.54       9.75       3.47  145742.00
2021 12 03 02 13 00 000       -3.06      -0.61       1.08    -459.40      -6.01       7.17       3.44  141891.00
2021 12 03 02 14 00 000       -3.16      -0.18       1.13    -459.30     -21.10      -6.91       3.30  118185.00
2021 12 03 02 15 00 000       -2.81      -0.99       1.29    -459.20     -20.37      -5.72       3.34  121177.00
2021 12 03 02 16 00 000       -3.03      -0.46       1.10    -459.10     -22.78      -4.14       3.19  120841.50
2021 12 03 02 17 00 000       -3.10      -0.45       1.44    -459.00     -25.19      -2.55       3.03  120506.00
2021 12 03 02 18 00 000       -3.36       0.23       1.26    -458.90     -21.83      -4.04       3.11  126960.00
2021 12 03 02 19 00 000       -3.32      -0.08       1.45    -458.70     -11.58      -8.84       3.25  138547.00
2021 12 03 02 20 00 000       -3.38       0.01       1.27    -460.50      -9.77       4.11       3.21  136794.00
2021 12 03 02 21 00 000       -3.38      -0.14       1.06    -464.60      -6.84      35.94       3.33  150948.00
2021 12 03 02 22 00 000       -3.48      -0.05       0.97    -459.20     -17.31       6.18       3.32  143974.00
2021 12 03 02 23 00 000       -3.27      -0.39       1.38    -457.50     -19.47      -1.74       3.33  140588.00
2021 12 03 02 24 00 000       -3.22      -0.34       1.10    -461.70      -3.62      14.13       3.41  148058.00
2021 12 03 02 25 00 000       -3.08       0.30       0.94    -464.70     -15.66       1.55       3.46  168812.00
2021 12 03 02 26 00 000       -3.27      -0.46       0.25    -462.20     -25.34      -0.70       3.61  159093.00
2021 12 03 02 27 00 000       -3.25      -0.46       0.33    -459.75     -12.93      11.88       3.57  138724.50
2021 12 03 02 28 00 000       -3.19      -0.21       0.46    -457.30      -0.50      24.44       3.54  118356.00
2021 12 03 02 29 00 000       -2.64       0.85       1.30    -457.30      -0.48      24.44       3.54  118356.00
2021 12 03 02 30 00 000       -2.63       1.15       1.44    -464.00     -12.72      15.50       3.59  138351.00
2021 12 03 02 31 00 000       -2.42       1.55       1.74    -468.60     -21.05       9.33       3.63  152038.00
2021 12 03 02 32 00 000       -2.67       1.19       1.49    -468.62     -22.12       9.96       3.66  153787.25
2021 12 03 02 33 00 000       -2.38       1.37       1.60    -468.65     -23.19      10.59       3.69  155536.50
2021 12 03 02 34 00 000       -2.39       0.90       1.08    -468.67     -24.26      11.23       3.71  157285.75
2021 12 03 02 35 00 000       -2.46       1.41       1.48    -468.70     -25.33      11.86       3.74  159035.00
2021 12 03 02 36 00 000       -2.58       1.32       1.41    -468.20     -24.13      11.63       3.69  157062.00
2021 12 03 02 37 00 000       -2.54       1.85       1.77    -467.90     -23.24      11.31       3.66  155633.00
2021 12 03 02 38 00 000       -2.91       1.23       1.76    -463.30     -20.25       3.89       3.68  162543.00
2021 12 03 02 39 00 000       -2.90       1.55       1.86    -461.50     -11.07      10.00       3.63  150732.00
2021 12 03 02 40 00 000       -2.89       1.39       1.19    -463.40     -15.38      12.00       3.65  147139.00
2021 12 03 02 41 00 000       -3.08       1.10       1.18    -466.50     -20.27      14.34       3.74  163844.00
2021 12 03 02 42 00 000       -3.11       1.15       1.73    -462.60     -17.69       7.03       3.93  166793.00
2021 12 03 02 43 00 000       -2.93       1.44       2.08    -462.20     -17.43       6.23       3.95  167134.00
2021 12 03 02 44 00 000       -2.83       1.37       2.02    -462.22     -16.54       6.05       3.90  166448.63
2021 12 03 02 45 00 000       -3.38       0.99       0.26    -462.25     -15.66       5.87       3.85  165763.25
2021 12 03 02 46 00 000       -3.09       0.31       1.41    -462.27     -14.78       5.68       3.80  165077.88
2021 12 03 02 47 00 000       -3.02       0.19       1.61    -462.30     -13.89       5.50       3.75  164392.50
2021 12 03 02 48 00 000       -3.21       0.27       1.89    -462.32     -13.01       5.31       3.70  163707.13
2021 12 03 02 49 00 000       -3.31       0.35       1.79    -462.35     -12.13       5.13       3.65  163021.75
2021 12 03 02 50 00 000       -3.29       0.36       1.78    -462.37     -11.25       4.94       3.60  162336.38
2021 12 03 02 51 00 000       -3.26       0.42       1.84    -462.40     -10.36       4.75       3.55  161651.00
2021 12 03 02 52 00 000       -2.93       1.55       1.04    -464.50     -19.70       6.16       3.56  168090.00
2021 12 03 02 53 00 000       -3.05       0.71       1.22    -467.20     -15.78       6.26       3.54  175338.00
2021 12 03 02 54 00 000       -3.17       0.30       1.48    -464.80      -7.90       3.94       3.58  157628.00
2021 12 03 02 55 00 000       -2.92       1.08       1.12    -465.70     -13.28       9.75       3.76  138192.00
2021 12 03 02 56 00 000       -2.80       1.68       0.98    -467.20     -23.94      10.66       3.64  167816.00
